#droppedfam, difficulty, RCCacc, SEQacc
3_20_20_120 0.461532377423 0.24065633546 0.343664539654
3_20_20_330 0.621588577118 0.916666666667 0.958333333333
3_20_20_40 0.59655325341 0.647887323944 0.591549295775
3_20_20_450 0.499161265286 0.477272727273 0.568181818182
3_20_20_210 0.608442848183 0.654320987654 0.604938271605
3_20_20_360 0.686831279652 0.333333333333 1.0
3_20_20_240 0.871198864742 1.0 0.90243902439
3_20_20_220 0.636088750069 0.826086956522 0.434782608696
3_20_20_300 0.59859345588 0.880597014925 0.716417910448
3_20_20_150 0.43474948425 0.662436548223 0.824873096447
3_20_20_70 0.395016778984 0.257675753228 0.271162123386
3_20_20_370 0.471822013634 0.156862745098 0.313725490196
3_20_20_460 0.810244615604 0.0 1.0
3_20_20_30 0.619168712204 0.768595041322 0.851239669421
3_20_20_350 0.998283974115 0.2 0.8
3_20_20_110 0.62562480419 0.786585365854 0.685975609756
3_20_20_400 0.509431225867 1.0 1.0
3_20_20_140   0.502202625718 0.6903409090909091 0.6917613636363636
